x,x_se_1step_sto_var0,x_se_1step_sto_var1,x_se_1step_sto_vecm,xf_1step_det_var0,xf_1step_det_var1,xf_1step_det_vecm,xf_1step_sto_var0,xf_1step_sto_var1,xf_1step_sto_vecm,y,y_se_1step_sto_var0,y_se_1step_sto_var1,y_se_1step_sto_vecm,yf_1step_det_var0,yf_1step_det_var1,yf_1step_det_vecm,yf_1step_sto_var0,yf_1step_sto_var1,yf_1step_sto_vecm
-2.263382387,#N/A,#N/A,#N/A,-2.263382387,-2.263382387,-2.263382387,-2.263382387,-2.263382387,-2.263382387,-0.756481412,#N/A,#N/A,#N/A,-0.756481412,-0.756481412,-0.756481412,-0.756481412,-0.756481412,-0.756481412
-4.237265432,#N/A,#N/A,#N/A,-4.237265432,-4.237265432,-4.237265432,-4.237265432,-4.237265432,-4.237265432,-3.198580655,#N/A,#N/A,#N/A,-3.198580655,-3.198580655,-3.198580655,-3.198580655,-3.198580655,-3.198580655
-3.428635495,#N/A,#N/A,#N/A,-3.428635495,-3.428635495,-3.428635495,-3.428635495,-3.428635495,-3.428635495,-2.663987902,#N/A,#N/A,#N/A,-2.663987902,-2.663987902,-2.663987902,-2.663987902,-2.663987902,-2.663987902
-3.275975666,#N/A,#N/A,#N/A,-3.275975666,-3.275975666,-3.275975666,-3.275975666,-3.275975666,-3.275975666,-2.154771218,#N/A,#N/A,#N/A,-2.154771218,-2.154771218,-2.154771218,-2.154771218,-2.154771218,-2.154771218
-3.523220561,#N/A,#N/A,#N/A,-3.523220561,-3.523220561,-3.523220561,-3.523220561,-3.523220561,-3.523220561,-3.733560359,#N/A,#N/A,#N/A,-3.733560359,-3.733560359,-3.733560359,-3.733560359,-3.733560359,-3.733560359
-1.46555903,#N/A,#N/A,#N/A,-1.46555903,-1.46555903,-1.46555903,-1.46555903,-1.46555903,-1.46555903,-3.145744478,#N/A,#N/A,#N/A,-3.145744478,-3.145744478,-3.145744478,-3.145744478,-3.145744478,-3.145744478
-3.077337751,#N/A,#N/A,#N/A,-3.077337751,-3.077337751,-3.077337751,-3.077337751,-3.077337751,-3.077337751,-3.986363168,#N/A,#N/A,#N/A,-3.986363168,-3.986363168,-3.986363168,-3.986363168,-3.986363168,-3.986363168
-2.43700559,#N/A,#N/A,#N/A,-2.43700559,-2.43700559,-2.43700559,-2.43700559,-2.43700559,-2.43700559,-3.276517561,#N/A,#N/A,#N/A,-3.276517561,-3.276517561,-3.276517561,-3.276517561,-3.276517561,-3.276517561
-1.952734004,#N/A,#N/A,#N/A,-1.952734004,-1.952734004,-1.952734004,-1.952734004,-1.952734004,-1.952734004,-3.430242502,#N/A,#N/A,#N/A,-3.430242502,-3.430242502,-3.430242502,-3.430242502,-3.430242502,-3.430242502
-3.575679488,#N/A,#N/A,#N/A,-3.575679488,-3.575679488,-3.575679488,-3.575679488,-3.575679488,-3.575679488,-4.592268069,#N/A,#N/A,#N/A,-4.592268069,-4.592268069,-4.592268069,-4.592268069,-4.592268069,-4.592268069
-4.472564874,#N/A,#N/A,#N/A,-4.472564874,-4.472564874,-4.472564874,-4.472564874,-4.472564874,-4.472564874,-4.255853053,#N/A,#N/A,#N/A,-4.255853053,-4.255853053,-4.255853053,-4.255853053,-4.255853053,-4.255853053
-8.00303764,#N/A,#N/A,#N/A,-8.00303764,-8.00303764,-8.00303764,-8.00303764,-8.00303764,-8.00303764,-6.08905228,#N/A,#N/A,#N/A,-6.08905228,-6.08905228,-6.08905228,-6.08905228,-6.08905228,-6.08905228
-7.333655992,#N/A,#N/A,#N/A,-7.333655992,-7.333655992,-7.333655992,-7.333655992,-7.333655992,-7.333655992,-6.564815032,#N/A,#N/A,#N/A,-6.564815032,-6.564815032,-6.564815032,-6.564815032,-6.564815032,-6.564815032
-7.973667275,#N/A,#N/A,#N/A,-7.973667275,-7.973667275,-7.973667275,-7.973667275,-7.973667275,-7.973667275,-6.466950867,#N/A,#N/A,#N/A,-6.466950867,-6.466950867,-6.466950867,-6.466950867,-6.466950867,-6.466950867
-7.405539035,#N/A,#N/A,#N/A,-7.405539035,-7.405539035,-7.405539035,-7.405539035,-7.405539035,-7.405539035,-6.190368482,#N/A,#N/A,#N/A,-6.190368482,-6.190368482,-6.190368482,-6.190368482,-6.190368482,-6.190368482
-4.959634205,#N/A,#N/A,#N/A,-4.959634205,-4.959634205,-4.959634205,-4.959634205,-4.959634205,-4.959634205,-5.611828357,#N/A,#N/A,#N/A,-5.611828357,-5.611828357,-5.611828357,-5.611828357,-5.611828357,-5.611828357
-4.462622614,#N/A,#N/A,#N/A,-4.462622614,-4.462622614,-4.462622614,-4.462622614,-4.462622614,-4.462622614,-6.023433888,#N/A,#N/A,#N/A,-6.023433888,-6.023433888,-6.023433888,-6.023433888,-6.023433888,-6.023433888
-4.723077982,#N/A,#N/A,#N/A,-4.723077982,-4.723077982,-4.723077982,-4.723077982,-4.723077982,-4.723077982,-6.880371474,#N/A,#N/A,#N/A,-6.880371474,-6.880371474,-6.880371474,-6.880371474,-6.880371474,-6.880371474
-5.907799781,#N/A,#N/A,#N/A,-5.907799781,-5.907799781,-5.907799781,-5.907799781,-5.907799781,-5.907799781,-5.299919158,#N/A,#N/A,#N/A,-5.299919158,-5.299919158,-5.299919158,-5.299919158,-5.299919158,-5.299919158
-3.39291976,#N/A,#N/A,#N/A,-3.39291976,-3.39291976,-3.39291976,-3.39291976,-3.39291976,-3.39291976,-3.418933478,#N/A,#N/A,#N/A,-3.418933478,-3.418933478,-3.418933478,-3.418933478,-3.418933478,-3.418933478
-5.560415673,#N/A,#N/A,#N/A,-5.560415673,-5.560415673,-5.560415673,-5.560415673,-5.560415673,-5.560415673,-4.094973044,#N/A,#N/A,#N/A,-4.094973044,-4.094973044,-4.094973044,-4.094973044,-4.094973044,-4.094973044
-5.621068449,#N/A,#N/A,#N/A,-5.621068449,-5.621068449,-5.621068449,-5.621068449,-5.621068449,-5.621068449,-3.222831742,#N/A,#N/A,#N/A,-3.222831742,-3.222831742,-3.222831742,-3.222831742,-3.222831742,-3.222831742
-6.746417724,#N/A,#N/A,#N/A,-6.746417724,-6.746417724,-6.746417724,-6.746417724,-6.746417724,-6.746417724,-5.42902775,#N/A,#N/A,#N/A,-5.42902775,-5.42902775,-5.42902775,-5.42902775,-5.42902775,-5.42902775
-5.481215623,#N/A,#N/A,#N/A,-5.481215623,-5.481215623,-5.481215623,-5.481215623,-5.481215623,-5.481215623,-4.591037954,#N/A,#N/A,#N/A,-4.591037954,-4.591037954,-4.591037954,-4.591037954,-4.591037954,-4.591037954
-5.879187445,#N/A,#N/A,#N/A,-5.879187445,-5.879187445,-5.879187445,-5.879187445,-5.879187445,-5.879187445,-5.206950684,#N/A,#N/A,#N/A,-5.206950684,-5.206950684,-5.206950684,-5.206950684,-5.206950684,-5.206950684
-4.128245327,#N/A,#N/A,#N/A,-4.128245327,-4.128245327,-4.128245327,-4.128245327,-4.128245327,-4.128245327,-4.88013399,#N/A,#N/A,#N/A,-4.88013399,-4.88013399,-4.88013399,-4.88013399,-4.88013399,-4.88013399
-5.808395772,#N/A,#N/A,#N/A,-5.808395772,-5.808395772,-5.808395772,-5.808395772,-5.808395772,-5.808395772,-4.872250575,#N/A,#N/A,#N/A,-4.872250575,-4.872250575,-4.872250575,-4.872250575,-4.872250575,-4.872250575
-6.147809302,#N/A,#N/A,#N/A,-6.147809302,-6.147809302,-6.147809302,-6.147809302,-6.147809302,-6.147809302,-5.72547333,#N/A,#N/A,#N/A,-5.72547333,-5.72547333,-5.72547333,-5.72547333,-5.72547333,-5.72547333
-6.574826953,#N/A,#N/A,#N/A,-6.574826953,-6.574826953,-6.574826953,-6.574826953,-6.574826953,-6.574826953,-6.648224606,#N/A,#N/A,#N/A,-6.648224606,-6.648224606,-6.648224606,-6.648224606,-6.648224606,-6.648224606
-6.054859429,#N/A,#N/A,#N/A,-6.054859429,-6.054859429,-6.054859429,-6.054859429,-6.054859429,-6.054859429,-5.806613447,#N/A,#N/A,#N/A,-5.806613447,-5.806613447,-5.806613447,-5.806613447,-5.806613447,-5.806613447
-5.804816842,#N/A,#N/A,#N/A,-5.804816842,-5.804816842,-5.804816842,-5.804816842,-5.804816842,-5.804816842,-4.782876188,#N/A,#N/A,#N/A,-4.782876188,-4.782876188,-4.782876188,-4.782876188,-4.782876188,-4.782876188
-7.163575133,#N/A,#N/A,#N/A,-7.163575133,-7.163575133,-7.163575133,-7.163575133,-7.163575133,-7.163575133,-6.709574447,#N/A,#N/A,#N/A,-6.709574447,-6.709574447,-6.709574447,-6.709574447,-6.709574447,-6.709574447
-7.035383267,#N/A,#N/A,#N/A,-7.035383267,-7.035383267,-7.035383267,-7.035383267,-7.035383267,-7.035383267,-6.922786771,#N/A,#N/A,#N/A,-6.922786771,-6.922786771,-6.922786771,-6.922786771,-6.922786771,-6.922786771
-8.303167493,#N/A,#N/A,#N/A,-8.303167493,-8.303167493,-8.303167493,-8.303167493,-8.303167493,-8.303167493,-6.336563638,#N/A,#N/A,#N/A,-6.336563638,-6.336563638,-6.336563638,-6.336563638,-6.336563638,-6.336563638
-8.728599275,#N/A,#N/A,#N/A,-8.728599275,-8.728599275,-8.728599275,-8.728599275,-8.728599275,-8.728599275,-5.376661227,#N/A,#N/A,#N/A,-5.376661227,-5.376661227,-5.376661227,-5.376661227,-5.376661227,-5.376661227
-7.199503102,#N/A,#N/A,#N/A,-7.199503102,-7.199503102,-7.199503102,-7.199503102,-7.199503102,-7.199503102,-6.062659954,#N/A,#N/A,#N/A,-6.062659954,-6.062659954,-6.062659954,-6.062659954,-6.062659954,-6.062659954
-6.192199751,#N/A,#N/A,#N/A,-6.192199751,-6.192199751,-6.192199751,-6.192199751,-6.192199751,-6.192199751,-5.271174352,#N/A,#N/A,#N/A,-5.271174352,-5.271174352,-5.271174352,-5.271174352,-5.271174352,-5.271174352
-8.436980346,#N/A,#N/A,#N/A,-8.436980346,-8.436980346,-8.436980346,-8.436980346,-8.436980346,-8.436980346,-6.177843522,#N/A,#N/A,#N/A,-6.177843522,-6.177843522,-6.177843522,-6.177843522,-6.177843522,-6.177843522
-7.798517748,#N/A,#N/A,#N/A,-7.798517748,-7.798517748,-7.798517748,-7.798517748,-7.798517748,-7.798517748,-5.639696697,#N/A,#N/A,#N/A,-5.639696697,-5.639696697,-5.639696697,-5.639696697,-5.639696697,-5.639696697
-6.786120683,#N/A,#N/A,#N/A,-6.786120683,-6.786120683,-6.786120683,-6.786120683,-6.786120683,-6.786120683,-4.728453891,#N/A,#N/A,#N/A,-4.728453891,-4.728453891,-4.728453891,-4.728453891,-4.728453891,-4.728453891
-7.449538561,#N/A,#N/A,#N/A,-7.449538561,-7.449538561,-7.449538561,-7.449538561,-7.449538561,-7.449538561,-4.868953763,#N/A,#N/A,#N/A,-4.868953763,-4.868953763,-4.868953763,-4.868953763,-4.868953763,-4.868953763
-8.257988759,#N/A,#N/A,#N/A,-8.257988759,-8.257988759,-8.257988759,-8.257988759,-8.257988759,-8.257988759,-6.26912798,#N/A,#N/A,#N/A,-6.26912798,-6.26912798,-6.26912798,-6.26912798,-6.26912798,-6.26912798
-7.626788942,#N/A,#N/A,#N/A,-7.626788942,-7.626788942,-7.626788942,-7.626788942,-7.626788942,-7.626788942,-5.104910038,#N/A,#N/A,#N/A,-5.104910038,-5.104910038,-5.104910038,-5.104910038,-5.104910038,-5.104910038
-5.867618913,#N/A,#N/A,#N/A,-5.867618913,-5.867618913,-5.867618913,-5.867618913,-5.867618913,-5.867618913,-5.837094742,#N/A,#N/A,#N/A,-5.837094742,-5.837094742,-5.837094742,-5.837094742,-5.837094742,-5.837094742
-5.867859493,#N/A,#N/A,#N/A,-5.867859493,-5.867859493,-5.867859493,-5.867859493,-5.867859493,-5.867859493,-5.998170899,#N/A,#N/A,#N/A,-5.998170899,-5.998170899,-5.998170899,-5.998170899,-5.998170899,-5.998170899
-3.20805556,#N/A,#N/A,#N/A,-3.20805556,-3.20805556,-3.20805556,-3.20805556,-3.20805556,-3.20805556,-4.795959028,#N/A,#N/A,#N/A,-4.795959028,-4.795959028,-4.795959028,-4.795959028,-4.795959028,-4.795959028
-3.819198562,#N/A,#N/A,#N/A,-3.819198562,-3.819198562,-3.819198562,-3.819198562,-3.819198562,-3.819198562,-5.864467828,#N/A,#N/A,#N/A,-5.864467828,-5.864467828,-5.864467828,-5.864467828,-5.864467828,-5.864467828
-4.487200337,#N/A,#N/A,#N/A,-4.487200337,-4.487200337,-4.487200337,-4.487200337,-4.487200337,-4.487200337,-6.112711784,#N/A,#N/A,#N/A,-6.112711784,-6.112711784,-6.112711784,-6.112711784,-6.112711784,-6.112711784
-6.185746053,#N/A,#N/A,#N/A,-6.185746053,-6.185746053,-6.185746053,-6.185746053,-6.185746053,-6.185746053,-6.926292169,#N/A,#N/A,#N/A,-6.926292169,-6.926292169,-6.926292169,-6.926292169,-6.926292169,-6.926292169
-5.255826393,#N/A,#N/A,#N/A,-5.255826393,-5.255826393,-5.255826393,-5.255826393,-5.255826393,-5.255826393,-5.822066317,#N/A,#N/A,#N/A,-5.822066317,-5.822066317,-5.822066317,-5.822066317,-5.822066317,-5.822066317
-8.06327706,#N/A,#N/A,#N/A,-8.06327706,-8.06327706,-8.06327706,-8.06327706,-8.06327706,-8.06327706,-6.568978991,#N/A,#N/A,#N/A,-6.568978991,-6.568978991,-6.568978991,-6.568978991,-6.568978991,-6.568978991
-8.58378142,#N/A,#N/A,#N/A,-8.58378142,-8.58378142,-8.58378142,-8.58378142,-8.58378142,-8.58378142,-6.79863926,#N/A,#N/A,#N/A,-6.79863926,-6.79863926,-6.79863926,-6.79863926,-6.79863926,-6.79863926
-7.142031769,#N/A,#N/A,#N/A,-7.142031769,-7.142031769,-7.142031769,-7.142031769,-7.142031769,-7.142031769,-6.700282591,#N/A,#N/A,#N/A,-6.700282591,-6.700282591,-6.700282591,-6.700282591,-6.700282591,-6.700282591
-6.441671485,#N/A,#N/A,#N/A,-6.441671485,-6.441671485,-6.441671485,-6.441671485,-6.441671485,-6.441671485,-6.787821896,#N/A,#N/A,#N/A,-6.787821896,-6.787821896,-6.787821896,-6.787821896,-6.787821896,-6.787821896
-9.363699143,#N/A,#N/A,#N/A,-9.363699143,-9.363699143,-9.363699143,-9.363699143,-9.363699143,-9.363699143,-7.952160155,#N/A,#N/A,#N/A,-7.952160155,-7.952160155,-7.952160155,-7.952160155,-7.952160155,-7.952160155
-11.31884384,#N/A,#N/A,#N/A,-11.31884384,-11.31884384,-11.31884384,-11.31884384,-11.31884384,-11.31884384,-8.948517923,#N/A,#N/A,#N/A,-8.948517923,-8.948517923,-8.948517923,-8.948517923,-8.948517923,-8.948517923
-10.35746961,#N/A,#N/A,#N/A,-10.35746961,-10.35746961,-10.35746961,-10.35746961,-10.35746961,-10.35746961,-8.32245616,#N/A,#N/A,#N/A,-8.32245616,-8.32245616,-8.32245616,-8.32245616,-8.32245616,-8.32245616
-10.98478962,#N/A,#N/A,#N/A,-10.98478962,-10.98478962,-10.98478962,-10.98478962,-10.98478962,-10.98478962,-7.801400021,#N/A,#N/A,#N/A,-7.801400021,-7.801400021,-7.801400021,-7.801400021,-7.801400021,-7.801400021
-8.204559218,#N/A,#N/A,#N/A,-8.204559218,-8.204559218,-8.204559218,-8.204559218,-8.204559218,-8.204559218,-7.19741523,#N/A,#N/A,#N/A,-7.19741523,-7.19741523,-7.19741523,-7.19741523,-7.19741523,-7.19741523
-7.812110302,#N/A,#N/A,#N/A,-7.812110302,-7.812110302,-7.812110302,-7.812110302,-7.812110302,-7.812110302,-7.84840203,#N/A,#N/A,#N/A,-7.84840203,-7.84840203,-7.84840203,-7.84840203,-7.84840203,-7.84840203
-5.642646934,#N/A,#N/A,#N/A,-5.642646934,-5.642646934,-5.642646934,-5.642646934,-5.642646934,-5.642646934,-7.369818348,#N/A,#N/A,#N/A,-7.369818348,-7.369818348,-7.369818348,-7.369818348,-7.369818348,-7.369818348
-7.821283359,#N/A,#N/A,#N/A,-7.821283359,-7.821283359,-7.821283359,-7.821283359,-7.821283359,-7.821283359,-8.551421782,#N/A,#N/A,#N/A,-8.551421782,-8.551421782,-8.551421782,-8.551421782,-8.551421782,-8.551421782
-9.288350103,#N/A,#N/A,#N/A,-9.288350103,-9.288350103,-9.288350103,-9.288350103,-9.288350103,-9.288350103,-9.703801048,#N/A,#N/A,#N/A,-9.703801048,-9.703801048,-9.703801048,-9.703801048,-9.703801048,-9.703801048
-9.224835657,#N/A,#N/A,#N/A,-9.224835657,-9.224835657,-9.224835657,-9.224835657,-9.224835657,-9.224835657,-9.862382542,#N/A,#N/A,#N/A,-9.862382542,-9.862382542,-9.862382542,-9.862382542,-9.862382542,-9.862382542
-10.45345927,#N/A,#N/A,#N/A,-10.45345927,-10.45345927,-10.45345927,-10.45345927,-10.45345927,-10.45345927,-9.012367514,#N/A,#N/A,#N/A,-9.012367514,-9.012367514,-9.012367514,-9.012367514,-9.012367514,-9.012367514
-9.169929146,#N/A,#N/A,#N/A,-9.169929146,-9.169929146,-9.169929146,-9.169929146,-9.169929146,-9.169929146,-8.811181799,#N/A,#N/A,#N/A,-8.811181799,-8.811181799,-8.811181799,-8.811181799,-8.811181799,-8.811181799
-8.557603533,#N/A,#N/A,#N/A,-8.557603533,-8.557603533,-8.557603533,-8.557603533,-8.557603533,-8.557603533,-7.644272664,#N/A,#N/A,#N/A,-7.644272664,-7.644272664,-7.644272664,-7.644272664,-7.644272664,-7.644272664
-8.749044723,#N/A,#N/A,#N/A,-8.749044723,-8.749044723,-8.749044723,-8.749044723,-8.749044723,-8.749044723,-8.921931594,#N/A,#N/A,#N/A,-8.921931594,-8.921931594,-8.921931594,-8.921931594,-8.921931594,-8.921931594
-8.714114172,#N/A,#N/A,#N/A,-8.714114172,-8.714114172,-8.714114172,-8.714114172,-8.714114172,-8.714114172,-7.892877389,#N/A,#N/A,#N/A,-7.892877389,-7.892877389,-7.892877389,-7.892877389,-7.892877389,-7.892877389
-6.88788527,#N/A,#N/A,#N/A,-6.88788527,-6.88788527,-6.88788527,-6.88788527,-6.88788527,-6.88788527,-7.996880457,#N/A,#N/A,#N/A,-7.996880457,-7.996880457,-7.996880457,-7.996880457,-7.996880457,-7.996880457
-7.657737302,#N/A,#N/A,#N/A,-7.657737302,-7.657737302,-7.657737302,-7.657737302,-7.657737302,-7.657737302,-8.644930923,#N/A,#N/A,#N/A,-8.644930923,-8.644930923,-8.644930923,-8.644930923,-8.644930923,-8.644930923
-5.246674522,#N/A,#N/A,#N/A,-5.246674522,-5.246674522,-5.246674522,-5.246674522,-5.246674522,-5.246674522,-8.114584426,#N/A,#N/A,#N/A,-8.114584426,-8.114584426,-8.114584426,-8.114584426,-8.114584426,-8.114584426
-7.607074457,#N/A,#N/A,#N/A,-7.607074457,-7.607074457,-7.607074457,-7.607074457,-7.607074457,-7.607074457,-9.018492188,#N/A,#N/A,#N/A,-9.018492188,-9.018492188,-9.018492188,-9.018492188,-9.018492188,-9.018492188
-7.101769082,#N/A,#N/A,#N/A,-7.101769082,-7.101769082,-7.101769082,-7.101769082,-7.101769082,-7.101769082,-9.142509029,#N/A,#N/A,#N/A,-9.142509029,-9.142509029,-9.142509029,-9.142509029,-9.142509029,-9.142509029
-7.351115078,#N/A,#N/A,#N/A,-7.351115078,-7.351115078,-7.351115078,-7.351115078,-7.351115078,-7.351115078,-9.614265767,#N/A,#N/A,#N/A,-9.614265767,-9.614265767,-9.614265767,-9.614265767,-9.614265767,-9.614265767
-10.5895696,#N/A,#N/A,#N/A,-10.5895696,-10.5895696,-10.5895696,-10.5895696,-10.5895696,-10.5895696,-12.23802733,#N/A,#N/A,#N/A,-12.23802733,-12.23802733,-12.23802733,-12.23802733,-12.23802733,-12.23802733
-12.03743062,#N/A,#N/A,#N/A,-12.03743062,-12.03743062,-12.03743062,-12.03743062,-12.03743062,-12.03743062,-11.7522264,#N/A,#N/A,#N/A,-11.7522264,-11.7522264,-11.7522264,-11.7522264,-11.7522264,-11.7522264
-13.74377014,#N/A,#N/A,#N/A,-13.74377014,-13.74377014,-13.74377014,-13.74377014,-13.74377014,-13.74377014,-13.11672587,#N/A,#N/A,#N/A,-13.11672587,-13.11672587,-13.11672587,-13.11672587,-13.11672587,-13.11672587
-11.57054875,#N/A,#N/A,#N/A,-11.57054875,-11.57054875,-11.57054875,-11.57054875,-11.57054875,-11.57054875,-13.39480315,#N/A,#N/A,#N/A,-13.39480315,-13.39480315,-13.39480315,-13.39480315,-13.39480315,-13.39480315
-14.78127719,#N/A,#N/A,#N/A,-14.78127719,-14.78127719,-14.78127719,-14.78127719,-14.78127719,-14.78127719,-14.38977775,#N/A,#N/A,#N/A,-14.38977775,-14.38977775,-14.38977775,-14.38977775,-14.38977775,-14.38977775
-14.78411651,#N/A,#N/A,#N/A,-14.78411651,-14.78411651,-14.78411651,-14.78411651,-14.78411651,-14.78411651,-14.73462736,#N/A,#N/A,#N/A,-14.73462736,-14.73462736,-14.73462736,-14.73462736,-14.73462736,-14.73462736
-13.07060449,#N/A,#N/A,#N/A,-13.07060449,-13.07060449,-13.07060449,-13.07060449,-13.07060449,-13.07060449,-13.90692938,#N/A,#N/A,#N/A,-13.90692938,-13.90692938,-13.90692938,-13.90692938,-13.90692938,-13.90692938
-12.160964,#N/A,#N/A,#N/A,-12.160964,-12.160964,-12.160964,-12.160964,-12.160964,-12.160964,-12.26975409,#N/A,#N/A,#N/A,-12.26975409,-12.26975409,-12.26975409,-12.26975409,-12.26975409,-12.26975409
-12.81477017,#N/A,#N/A,#N/A,-12.81477017,-12.81477017,-12.81477017,-12.81477017,-12.81477017,-12.81477017,-13.42869004,#N/A,#N/A,#N/A,-13.42869004,-13.42869004,-13.42869004,-13.42869004,-13.42869004,-13.42869004
-11.66863002,#N/A,#N/A,#N/A,-11.66863002,-11.66863002,-11.66863002,-11.66863002,-11.66863002,-11.66863002,-13.68882105,#N/A,#N/A,#N/A,-13.68882105,-13.68882105,-13.68882105,-13.68882105,-13.68882105,-13.68882105
-12.34114485,#N/A,#N/A,#N/A,-12.34114485,-12.34114485,-12.34114485,-12.34114485,-12.34114485,-12.34114485,-13.26068222,#N/A,#N/A,#N/A,-13.26068222,-13.26068222,-13.26068222,-13.26068222,-13.26068222,-13.26068222
-12.75903924,#N/A,#N/A,#N/A,-12.75903924,-12.75903924,-12.75903924,-12.75903924,-12.75903924,-12.75903924,-12.3120923,#N/A,#N/A,#N/A,-12.3120923,-12.3120923,-12.3120923,-12.3120923,-12.3120923,-12.3120923
-12.4942029,#N/A,#N/A,#N/A,-12.4942029,-12.4942029,-12.4942029,-12.4942029,-12.4942029,-12.4942029,-11.29739997,#N/A,#N/A,#N/A,-11.29739997,-11.29739997,-11.29739997,-11.29739997,-11.29739997,-11.29739997
